Satellite,NORAD ID,Pass ID,Generation,Timestamp (UTC),Doppler Shift (Hz),Elevation (deg),Azimuth (deg),Distance (km),TLE Age (hours)
STARLINK-3175,51140,0,unknown,2025-07-16T16:02:25,-121185.87067119194,5.459826688437602,208.01033459186488,2138.7657703024506,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:02:26,-121865.79348375498,5.423059009705569,207.83704474126344,2141.9132919989424,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:02:27,-122542.55887898261,5.386156968940748,207.6642920535493,2145.0783827926894,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:02:28,-123216.16791366145,5.349122325870181,207.4920768937521,2148.260960920791,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:02:29,-123886.62189309554,5.311956830331666,207.3203995872182,2151.460944650781,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:02:30,-124553.92236757193,5.274662222157147,207.1492604200569,2154.6782522856383,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:02:31,-125218.07112929314,5.237240231009614,206.97865963948195,2157.9128021729794,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:02:32,-125879.07020766873,5.199692576318799,206.80859745457465,2161.1645127061847,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:02:33,-126536.92186836523,5.162020967030428,206.63907403606777,2164.4333023419385,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:02:34,-127191.62860680372,5.124227101650363,206.47008951757311,2167.719089592473,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:02:35,-127843.19314528833,5.086312668082541,206.3016439958838,2171.021793036071,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:02:36,-128491.61843175178,5.048279343419315,206.13373753082774,2174.341331331979,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:02:37,-129136.90763297278,5.010128793999506,205.9663701465899,2177.677623212315,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:02:38,-129779.06413310356,4.971862675212003,205.79954183163218,2181.03058749648,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:02:39,-130418.09152892571,4.933482631459788,205.63325253948506,2184.4001430918033,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:02:40,-131053.99362749784,4.894990296014354,205.46750218890233,2187.786209004102,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:02:41,-131686.77444269427,4.856387290934923,205.30229066430832,2191.1887043428364,286.7598810322222
